recipe_title,category,subcategory,ingredients,directions,num_ingredients,num_steps,normalized_recipe_name
Ahi Poke Salad,Paleo,Paleo Salads,"[""1 \u00bc pounds ahi tuna, cut into 1/2 inch cubes"", ""\u00bc cup minced onion"", ""\u00bc cup minced green onion"", ""2 tablespoons lightly crumbled wakame seaweed"", ""1 tablespoon ground roasted macadamia nuts"", ""2 teaspoons sesame oil"", ""1 \u00bd teaspoons crushed red pepper flakes"", ""1 teaspoon minced fresh ginger"", ""8 leaves iceberg lettuce"", ""2 tablespoons cilantro leaves, for garnish""]","[""Mix together ahi tuna, onion, green onion, seaweed, macadamia nuts, sesame oil, red pepper flakes, and ginger in a mixing bowl."", ""Cover and refrigerate for the flavors to come together, at least 1 hour."", ""Arrange lettuce leaves on a serving platter, spoon ahi poke on top, and garnish with cilantro.""]",10,3,ahi poke salad
Ajad (Authentic Thai Cucumber Salad),Low Fat,Low-Fat Salads,"[""\u00bd cup white vinegar"", ""\u00bc cup water"", ""4 tablespoons white sugar, or more to taste"", ""1 \u00bd teaspoons salt"", ""6 cucumbers, peeled and thinly sliced"", ""3 shallots, thinly sliced"", ""2 Thai bird's eye chiles, halved lengthwise""]","[""Combine vinegar, water, sugar, and salt in a saucepan over medium heat. Bring to a boil and cook until sugar and salt are dissolved, 3 to 5 minutes. Taste and adjust seasoning so pickling liquid is pleasantly sweet, sour, and lightly salty."", ""Combine cucumbers, shallots, and chiles in a large bowl. Cover with pickling liquid. Refrigerate for a few hours to let flavors combine.""]",7,2,ajad authentic thai cucumber salad
Algerian Flafla (Bell Pepper Salad),Paleo,Paleo Salads,"[""3 green bell peppers"", ""1 tablespoon olive oil"", ""1 tablespoon finely chopped red onion"", ""1 clove garlic, minced"", ""salt and pepper to taste"", ""1 roma (plum) tomato, diced""]","[""Preheat an oven to 450 degrees F (230 degrees C). Place the whole peppers on aluminum foil. Bake until the skin is spotted black and the peppers are soft, 30 to 45 minutes, turning the peppers once if necessary."", ""Remove peppers from the oven and set aside to cool for 10 minutes. Peel off the skin and remove the stem and seeds. Chop the roasted peppers into half-inch pieces."", ""Heat the olive oil in a skillet over medium heat. Stir in the onion and cook, stirring frequently, until the onion has softened and turned translucent, about 5 minutes. Add the garlic, salt, and pepper; stir in the chopped peppers and tomato. Cook over medium heat, stirring occasionally, until the tomato is soft and the mixture is well incorporated, about 5 minutes.""]",6,3,algerian flafla bell pepper salad
Ali's Greek Tortellini Salad,Pasta Salads,Vegetarian Pasta Salad,"[""2 (9 ounce) packages cheese tortellini"", ""\u00bd cup extra-virgin olive oil"", ""\u00bc cup fresh lemon juice"", ""\u00bc cup red wine vinegar"", ""2 tablespoons chopped fresh parsley"", ""1 teaspoon dried oregano"", ""\u00bd teaspoon salt"", ""6 large eggs"", ""1 pound baby spinach leaves"", ""1 cup crumbled feta cheese"", ""\u00bd cup slivered red onion""]","[""Bring a large pot of lightly salted water to a rolling boil; stir in tortellini and return to a boil. Cook uncovered, stirring occasionally, until the tortellini float to the top and the filling is hot according to package directions. Drain and set aside."", ""Whisk oil, lemon juice, vinegar, parsley, oregano, and salt together in a large salad bowl; add tortellini and toss to coat. Cover bowl with plastic wrap; refrigerate, at least 2 hours."", ""Place eggs in a saucepan and cover with water. Bring to a boil, remove from heat, and let eggs stand in hot water for 10 to 12 minutes. Remove eggs from hot water, cool under cold running water, peel, and quarter."", ""Gently stir spinach, feta cheese, and onion into tortellini mixture; arrange quartered eggs on top of salad before serving.""]",11,4,ali s greek tortellini salad
All-American Loaded Baked Potato Salad,July 4Th,4Th Of July Salads,"[""6 cups cubed russet potatoes"", ""1 teaspoon salt"", ""1 cup sour cream"", ""1 cup creamy salad dressing (such as Miracle Whip)"", ""\u00bd teaspoon coarse ground black pepper"", ""1 cup shredded Cheddar cheese"", ""\u00bd cup chopped green onions"", ""\u00bd cup real bacon bits""]","[""Place potatoes in a pot and cover with cold water. Add salt and bring to a boil. Simmer until potatoes are just tender enough to be pierced with a fork, about 15 minutes. Drain and run under cold water until potatoes are slightly cool."", ""Mix sour cream, creamy salad dressing, and ground black pepper together in a large bowl. Stir in Cheddar cheese, green onion, and bacon bits; add potatoes. Cover and chill in the refrigerator until ready to serve.""]",8,2,all american loaded baked potato salad
Almond Gelatin,Jell-O Salads,Jell-O Salads,"[""1 (.25 ounce) package unflavored gelatin"", ""\u00be cup boiling water"", ""\u00bc cup white sugar"", ""1 cup whole milk"", ""1 teaspoon almond extract"", ""\u00bd (15.25 ounce) can fruit cocktail, including syrup""]","[""Combine gelatin with boiling water, stirring until dissolved. Stir in sugar, milk, and almond extract. Pour into a 9 inch square pan and refrigerate overnight. Cut into cubes and serve with fruit cocktail.""]",6,1,almond gelatin
Almond Jelly,Fruit Salads,Dessert Salads,"[""1 cup water"", ""2 (.25 ounce) envelopes unflavored gelatin powder"", ""1 cup water"", ""2 cups milk"", ""\u00be cup sugar"", ""1 \u00bd teaspoons almond extract""]","[""Pour 1 cup water in a bowl; sprinkle the gelatin over the water; stir until the gelatin is partially dissolved. Set aside."", ""Bring 1 cup water to a boil in a large saucepan. Reduce heat to medium-low and slowly pour in the gelatin mixture. Add the milk, sugar, and almond extract; stir until the sugar and gelatin are completely dissolved; pour mixture into a large, shallow container. Refrigerate until firm, 3 to 4 hours. Cut into small squares to serve.""]",6,2,almond jelly
Alyson's Broccoli Salad,July 4Th,4Th Of July Salads,"[""10 slices bacon"", ""1 head fresh broccoli, cut into bite size pieces"", ""\u00bc cup red onion, chopped"", ""\u00bd cup raisins"", ""3 tablespoons white wine vinegar"", ""2 tablespoons white sugar"", ""1 cup mayonnaise"", ""1 cup sunflower seeds""]","[""Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, crumble and set aside."", ""In a medium bowl, combine the broccoli, onion and raisins. In a small bowl, whisk together the vinegar, sugar and mayonnaise. Pour over broccoli mixture, and toss until well mixed. Refrigerate for at least two hours."", ""Before serving, toss salad with crumbled bacon and sunflower seeds.""]",8,3,alyson s broccoli salad
Amazing Asian Chicken Salad,Chicken Salads,Chicken Breast Salads,"[""\u00bc cup rice vinegar"", ""\u00bc cup sesame oil"", ""3 green onions, chopped"", ""2 cloves garlic, minced"", ""2 tablespoons white sugar"", ""2 tablespoons ground ginger"", ""2 tablespoons soy sauce"", ""1 tablespoon vegetable oil"", ""1 teaspoon ground coriander"", ""2 teaspoons prepared yellow mustard"", ""4 skinless, boneless chicken breast halves"", ""\u00bc medium head shredded green cabbage"", ""\u00bc medium head shredded red cabbage"", ""2 large carrots, shredded"", ""3 green onions, chopped"", ""\u00bd bunch cilantro, coarsely chopped leaves"", ""\u00bd cup slivered almonds""]","[""Whisk together the rice vinegar, sesame oil, 3 green onions, garlic, sugar, ginger, soy sauce, vegetable oil, coriander, and mustard in a mixing bowl until the sugar has dissolved. Pour half of the dressing into another container, and refrigerate for later. Place the chicken breasts into the remaining dressing, and coat on all sides. Cover, and refrigerate 30 minutes to 1 hour."", ""Preheat an oven to 350 degrees F (175 degrees C). Remove the chicken breasts from the marinade, and shake off excess. Discard the remaining marinade. Place the chicken into a baking dish."", ""Bake the chicken breasts in the preheated oven until no longer pink in the center and the juices run clear, about 45 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Remove from the oven, and allow to cool. Shred the chicken using 2 forks and set aside."", ""To assemble the salad, combine the green cabbage, red cabbage, carrots, 3 green onions, cilantro, almonds, and cooled chicken in a large mixing bowl. Pour the reserved dressing overtop and toss to coat.""]",17,4,amazing asian chicken salad
Amazing Cucumber Basil Salad,Allrecipes Allstar Recipes,Allrecipes Allstars Salad,"[""2 cups fresh baby spinach"", ""2 tablespoons fresh basil"", ""1 pound campari tomatoes, seeded and minced"", ""2 large seedless cucumbers, peeled and minced"", ""1 large red onion, minced"", ""3 cloves garlic, minced"", ""1 teaspoon salt, or to taste"", ""1 teaspoon cracked black pepper, or to taste""]","[""Process spinach and basil in a food processor until finely chopped."", ""Toss together spinach mixture, tomatoes, cucumbers, red onion, garlic, salt, and pepper in a large bowl with an airtight lid. Cover the bowl and refrigerate salad, 8 hours to overnight.""]",8,2,amazing cucumber basil salad
