recipe_title,category,subcategory,ingredients,directions,num_ingredients,num_steps,normalized_recipe_name
Chinese Napa Cabbage Salad,Coleslaws,Coleslaws,"[""1 (3 ounce) package chicken flavored ramen noodles"", ""\u00bc cup butter"", ""\u00bd cup sesame seeds, toasted"", ""\u00bd cup blanched slivered almonds"", ""1 large head napa cabbage, shredded"", ""6 green onions, chopped"", ""\u00bc cup vegetable oil"", ""\u00bc cup rice wine vinegar"", ""1 tablespoon soy sauce"", ""1 tablespoon sesame oil"", ""\u215b cup white sugar""]","[""Crush noodles, place them in a medium skillet and brown in butter over medium heat. Add almonds and sesame seeds. Stir often to prevent burning. Add seasoning mix from noodles and cool. Toss in a large bowl with cabbage and onions."", ""Prepare the dressing by whisking together the vegetable oil, rice vinegar, soy sauce, sesame oil and sugar. Pour over salad, toss and serve.""]",11,2,chinese napa cabbage salad
Chinese Pasta Salad,Pasta Salads,Asian Pasta Salad,"[""1 medium head cabbage, shredded"", ""4 green onions, sliced"", ""\u00bd cup slivered almonds"", ""1 (3 ounce) package ramen noodles with seasoning packet"", ""\u00bd cup chopped fresh cilantro"", ""\u00bd cup rice wine vinegar"", ""\u00bc cup vegetable oil""]","[""Combine cabbage, green onions, and almonds in a large bowl. Crush ramen noodles; stir into cabbage mixture. Stir in cilantro; toss to combine."", ""Combine vinegar, oil, and ramen noodle seasoning packet in a small bowl; toss into cabbage mixture.""]",7,2,chinese pasta salad
Chipotle Chicken Salad,Chicken Salads,Chicken Salads,"[""2 \u00bd cups cubed cooked chicken"", ""1 cup mayonnaise"", ""\u00bc cup crumbled reduced-fat feta cheese"", ""2 green onions, chopped"", ""3 tablespoons reduced-fat sour cream"", ""3 chipotle peppers in adobo sauce, minced"", ""garlic salt and pepper to taste""]","[""Combine chicken, mayonnaise, feta cheese, green onions, sour cream, and chipotle peppers in a bowl. Season with garlic, salt, and pepper to taste. Stir until evenly combined.""]",7,1,chipotle chicken salad
Chopped Brussels Sprout Salad,Christmas,Christmas Salads,"[""1 shallot, minced"", ""\u00bc cup apple cider vinegar"", ""\u00bc cup sunflower seed oil"", ""2 tablespoons Dijon mustard"", ""\u00bd teaspoon honey"", ""\u00bd teaspoon salt"", ""\u00bc teaspoon ground black pepper"", ""6 cups Brussels sprouts, trimmed, halved, and sliced"", ""2 Gala apples, cored and thinly sliced"", ""\u00bd cup dried cranberries"", ""\u2153 cup sliced almonds"", ""\u2153 cup raw sunflower seed kernels"", ""\u2153 cup shelled, raw pumpkin seeds""]","[""Whisk shallot, vinegar, oil, Dijon mustard, honey, salt, and black pepper together in a small bowl; set vinaigrette aside."", ""Combine Brussels sprouts, apples, cranberries, almonds, sunflower seeds, and pumpkin seeds in a bowl; toss with vinaigrette to coat.""]",13,2,chopped brussels sprout salad
Chopped Greek Salad Dip,Appetizers And Snacks,Appetizers And Snacks,"[""4 ounces cream cheese"", ""1 (8 ounce) block feta cheese, crumbled, divided"", ""3 tablespoons pepperoncini brine"", ""1/3 cup pepperoncini,"", ""3/4 cup tzatziki"", ""1/2 cup roasted red bell peppers"", ""1/3 cup kalamata olives"", ""pita chips""]","[""Gather all ingredients."", ""Combine cream cheese and 1 cup feta in a food processor; process until mostly smooth, about 1 minute, stopping to scrape down sides as needed. With the processor running, slowly drizzle pepperoncini brine through the chute until a smooth whipped dip forms, about 2 minutes."", ""Transfer feta mixture to a large bowl, fold in chopped pepperoncini, tzatziki, red bell peppers, olives, and 3/4 cup of the feta until evenly combined."", ""Chill mixture, covered, until thickened and cold, about 1 hour."", ""Garnish with additional pepperoncini, red bell peppers, olives, and remaining 1/4 cup feta; serve with pita chips.""]",8,5,chopped greek salad dip
Chorizo-Spiced Party-Sized Chopped Veggie Salad,Green Salads,Kale Salad,"[""1 head cauliflower, stemmed and chopped"", ""2 large cucumbers, seeded and chopped"", ""1 (8 ounce) package baby carrots, chopped"", ""8 ounces radishes, chopped"", ""1 (8 ounce) package mushrooms, stemmed and chopped"", ""4 ounces cilantro, chopped"", ""4 leaves kale, stemmed and chopped"", ""1 large poblano pepper, seeded and chopped"", ""\u00bd cup lime juice"", ""\u00bd cup white vinegar"", ""2 tablespoons ground paprika"", ""1 tablespoon extra-virgin olive oil"", ""1 tablespoon minced garlic"", ""1 tablespoon minced fresh oregano"", ""1 tablespoon ground cumin"", ""1 teaspoon chili powder"", ""\u00bd teaspoon ground cloves"", ""\u00bd teaspoon ground coriander"", ""1 pinch salt and ground black pepper to taste""]","[""Combine cauliflower, cucumbers, carrots, radishes, mushrooms, cilantro, kale, and poblano pepper in a large food-safe container with a lid."", ""Whisk lime juice, vinegar, paprika, olive oil, garlic, oregano, cumin, chili powder, cloves, coriander, salt, and pepper in a bowl until no lumps remain. Pour over cauliflower mixture in the container. Cover and shake until well mixed.""]",19,2,chorizo spiced party sized chopped veggie salad
Chris's Hawaiian Fluff Salad,Fruit Salads,Fruit Salads,"[""2 (12 ounce) containers whipped topping (such as Cool Whip\u00ae)"", ""1 (8 ounce) container sour cream"", ""2 (4 ounce) packages instant vanilla pudding mix"", ""4 drops red food coloring"", ""1 (30 ounce) can fruit cocktail, drained"", ""1 (20 ounce) can pineapple chunks, drained"", ""1 (10.5 ounce) package miniature marshmallows"", ""1 (8 ounce) can mandarin oranges, drained"", ""1 pint strawberries, hulled and quartered"", ""1 banana, sliced""]","[""Mix whipped topping, sour cream, pudding mix, and food coloring together in a large bowl until combined. Add fruit cocktail, pineapple, marshmallows, mandarin oranges, strawberries, and banana and mix well."", ""Chill for 3 to 4 hours before serving.""]",10,2,chris s hawaiian fluff salad
Christmas Cranberry Salad,Fruit Salads,Fruit Salads,"[""1 pound cranberries, finely ground"", ""2 cups white sugar"", ""1 (20 ounce) can crushed pineapple, drained"", ""1 (16 ounce) package miniature marshmallows"", ""1 cup chopped pecans (Optional)"", ""1 pint whipped cream, beaten stiff""]","[""Mix cranberries and sugar together in a bowl. Cover and refrigerate, 8 hours to overnight."", ""The next day, beat cream in a chilled glass or metal bowl with an electric mixer until soft peaks form."", ""Remove cranberries from the refrigerator. Mix in drained pineapple, marshmallows, pecans, and whipped cream until well combined. Pour into a 3-quart dish, cover, and refrigerate or freeze for at least 1 hour before serving.""]",6,3,christmas cranberry salad
Christmas Pasta Salad,Christmas,Christmas Salads,"[""1 (16 ounce) package uncooked orzo pasta"", ""\u2153 cup pesto, or to taste"", ""2 teaspoons lemon juice (Optional)"", ""1 cup cherry tomatoes, halved"", ""4 ounces mozzarella cheese balls or pearls"", ""\u00bc cup sliced pepperoni, cut into strips"", ""3 large fresh basil leaves, julienned""]","[""Bring a large pot of lightly salted water to a boil. Cook orzo in the boiling water, stirring occasionally until tender yet firm to the bite, about 11 minutes. Drain and transfer to a large bowl."", ""Add pesto and lemon juice to the orzo; toss to coat. Mix in tomatoes, mozzarella cheese balls, and pepperoni strips. Refrigerate for 8 hours to overnight."", ""Mix in basil right before serving.""]",7,3,christmas pasta salad
Christmas Pomegranate Salad,Christmas,Christmas Salads,"[""3 cups leafy salad green mix"", ""\u00bd cup pomegranate seeds"", ""\u2153 cup crumbled blue cheese"", ""\u00bc cup crushed walnuts"", ""\u00bc cup cranberry vinaigrette""]","[""Toss leafy greens, pomegranate seeds, blue cheese, and walnuts together in a medium-sized salad bowl. Add cranberry vinaigrette just before serving.""]",5,1,christmas pomegranate salad
Ciabatta Grinder Salad Sandwich,Pork,Pork Sandwiches,"[""2 ciabatta rolls, sliced in half"", ""5 thin slices provolone cheese"", ""4 thin slices deli turkey"", ""4 thin slices deli ham"", ""4 thin slices soppressata"", ""4 thin slices prosciutto"", ""16 slices mini pepperoni"", ""\u00bc cup grated Parmesan cheese, or to taste"", ""1 medium tomato, thinly sliced"", ""1 drizzle olive oil, or to taste"", ""salt and freshly ground black pepper to taste""]","[""Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with foil or parchment paper."", ""Place sliced rolls on the prepared baking sheet (if the top half of roll rocks from side to side too much, slice a tiny bit of the top off). Place 1 slice of provolone on each slice of bread. Tear up the remaining slice of provolone to cover any open bread areas."", ""Bake in the preheated oven until melted (not browned), about 8 minutes. Remove from oven; leave the oven on."", ""Fold two pieces of turkey onto two slices of bread. Fold two pieces of ham onto the other slices of bread."", ""Layer 2 slices of soppressata on top of the turkey. Fold 2 slices of prosciutto onto ham. Place four pepperoni pieces on top of each bread half."", ""Sprinkle slices with some of the Parmesan cheese. Place back into the oven and let bake until pepperoni is looking crispy, about 12 minutes."", ""While slices bake, make the grinder salad. Add mayonnaise, red wine vinegar, garlic, oregano, salt, pepper, and pepper flakes to a bowl. Whisk to combine."", ""Add lettuce, onion, and pepperoncinis to the dressing. Toss to coat."", ""Remove sandwiches from the oven. Top 2 of the ciabatta slices with tomato slices. Using tongs, place a layer of salad on top of the tomatoes. Sprinkle with more Parmesan cheese."", ""Place the non-salad slices on top of the salad ones. Cut each sandwich in half and serve.""]",11,10,ciabatta grinder salad sandwich
Cilantro Lime Cucumber Salad,Low Fat,Low-Fat Salads,"[""1 cucumber, sliced into thin strips"", ""2 tablespoons chopped fresh cilantro"", ""1 lime, juiced"", ""1 clove garlic, minced"", ""1 teaspoon sambal oelek (chile paste) (Optional)"", ""1 pinch red pepper flakes, or to taste"", ""salt to taste""]","[""Mix cucumber, cilantro, lime juice, garlic, sambal oelek, red pepper flakes, and salt together in a bowl until evenly combined; allow to sit until flavors blend, at least 10 minutes.""]",7,1,cilantro lime cucumber salad
Cilantro Lime Steak Salad,Dinner,Main Dish Salads,"[""1 clove garlic"", ""2 teaspoons seeded and minced jalape\u00f1o pepper (Optional)"", ""\u00be teaspoon minced fresh ginger"", ""\u2153 cup lime juice"", ""\u00bc cup packed cilantro leaves"", ""2 tablespoons honey"", ""2 teaspoons balsamic vinegar"", ""\u00bd teaspoon salt, or to taste"", ""\u2153 cup extra-virgin olive oil""]","[""Make the dressing: Pulse garlic, jalape\u00f1o, and ginger in a blender until finely chopped. Add lime juice, cilantro, honey, balsamic vinegar, and salt; pulse to blend. Turn the blender on; pour in oil in a slow, steady stream. Blend until dressing is smooth."", ""Set an oven rack about 4 inches from the heat source and preheat the oven's broiler. Line a baking sheet with foil."", ""Make the salad: Season steak with salt and black pepper, then transfer to the prepared baking sheet."", ""Broil in the preheated oven until an instant-read thermometer inserted into the center registers 135 degrees F (57 degrees C) for medium-rare, 3 to 4 minutes per side."", ""While the steak is cooking, stir together corn, bell pepper, onion, tomato, and jalape\u00f1o in a bowl."", ""Remove steak from the oven and let rest for 10 minutes. Thinly slice steak against the grain."", ""Divide lettuce among 4 plates. Drizzle dressing over top, then top with steak slices and corn mixture. Sprinkle with feta and serve with tortilla chips.""]",9,7,cilantro lime steak salad
Cilantro Tomato Corn Salad,Low Sodium,Low-Sodium Salads,"[""3 ears fresh corn in husks"", ""\u00bc cup butter, melted"", ""2 roma (plum) tomatoes, chopped"", ""1 jalapeno pepper, seeded and finely chopped"", ""\u00bd small red onion, finely chopped"", ""2 cloves garlic, minced"", ""\u00bd bunch fresh cilantro, chopped"", ""salt and freshly ground black pepper to taste"", ""1 pinch salt-free lemon-herb seasoning (such as Mrs. Dash)""]","[""Peel back corn husks, but leave them attached at the bottom. Remove the silks, and fold husks back up over the corn. Place on a dinner plate, and cook in the microwave for 5 minutes on High power, turning corn once half way through. Cool until cool enough to touch, then slice corn kernels from the cob and place them in a serving bowl."", ""Stir butter into the corn along with the tomatoes, jalapeno, red onion, garlic and cilantro. Season with salt, pepper, and seasoning blend. Mix well, taste, and adjust seasoning if necessary. Some people like the salad warm, but I prefer to chill it a little before serving.""]",9,2,cilantro tomato corn salad
"Cilantro, Avocado, Tomato, and Feta Salad",Allrecipes Allstar Recipes,Allrecipes Allstars Salad,"[""8 roma (plum) tomatoes, diced"", ""3 jalapeno peppers, seeded and diced"", ""3 bunches green onion, sliced"", ""4 ounces crumbled garlic and herb feta cheese"", ""4 avocados - peeled, pitted and diced"", ""2 tablespoons fresh lemon juice"", ""3 bunches cilantro, chopped"", ""salt and ground black pepper to taste""]","[""Combine tomatoes, jalape\u00f1o peppers, green onion, and feta cheese in a large bowl; toss together. Add diced avocado; drizzle lemon juice over avocado to keep it from turning brown. Stir in cilantro. Season with salt and pepper. Mix well and serve.""]",8,1,cilantro avocado tomato and feta salad
Cindy's Coleslaw,Low Sodium,Low-Sodium Salads,"[""1 (16 ounce) bag coleslaw mix"", ""1 cup mayonnaise"", ""\u00bc cup white sugar, or to taste"", ""2 tablespoons cider vinegar"", ""\u00bd teaspoon onion powder"", ""salt and ground black pepper to taste""]","[""Place coleslaw mix in a large bowl. Combine mayonnaise, sugar, vinegar, onion powder, salt, and pepper in a small bowl. Pour mayonnaise mixture over coleslaw mix and toss to coat. Refrigerate for at least 30 minutes; serve with a slotted spoon.""]",6,1,cindy s coleslaw
Citrus Carrot Salad,Diabetic,Diabetic Salads,"[""1 cup shredded carrots"", ""\u00bc cup raisins"", ""1 teaspoon lemon juice"", ""1 teaspoon lime juice"", ""1 teaspoon white sugar"", ""1 tablespoon miniature marshmallows""]","[""Mix carrots, raisins, lemon juice, lime juice, and sugar together using a fork in a microwave-safe bowl; cover bowl."", ""Heat in the microwave on low for 30 seconds. Transfer salad to a glass bowl; sprinkle marshmallows over salad.""]",6,2,citrus carrot salad
Citrus Salad,Fruit Salads,Fruit Salads,"[""1 lime - zested, peeled, and sliced"", ""1 mandarin orange (tangerine) - zested, peeled, and sectioned"", ""1 navel orange, peeled and sectioned"", ""1 grapefruit, peeled and sectioned"", ""1 bulb shallots, diced"", ""1 tablespoon lemon juice"", ""1 tablespoon olive oil"", ""\u00bd teaspoon salt"", ""1 head romaine lettuce, torn""]","[""Place lime slices, tangerine sections, navel orange, and grapefruit in a bowl. In a separate bowl, mix the lime zest, mandarin orange zest, shallots, lemon juice, olive oil, and salt. Pour over the fruit. Arrange dressed fruit atop romaine lettuce to serve.""]",9,1,citrus salad
Citrus Walnut Salad,Fruit Salads,Fruit Salads,"[""\u00bd cup chopped walnuts"", ""2 large oranges, zested"", ""1 pink grapefruit"", ""1 (5 ounce) bag mixed salad greens"", ""\u00bd cup crumbled feta cheese""]","[""Preheat oven to 350 degrees F (175 degrees C). Spread walnuts on a baking sheet."", ""Toast walnuts in the preheated oven until golden brown and fragrant, about 5 minutes."", ""Slice top and bottom off 1 orange and set on a flat work surface. Cut downwards from the top, following the curve of the fruit, to remove all of the skin and pith. Repeat with remaining orange and grapefruit."", ""Holding 1 orange over a bowl to catch juice, cut both sides of each segment away from the connective membrane and transfer to a separate bowl. Squeeze extra juice from the membranes into the bowl. Repeat with remaining orange and grapefruit."", ""Mix toasted walnuts, salad greens, and feta cheese into the bowl of orange and grapefruit segments."", ""Pour orange and grapefruit juice into a glass measuring cup. Add enough pomegranate juice to reach 1/3 cup. Whisk in 1 teaspoon orange zest, sugar, parsley, and salt. Whisk in oil until dressing is thick."", ""Drizzle dressing over salad.""]",5,7,citrus walnut salad
Citrus and Pomegranate Salad,Lunch,Salad Recipes,"[""2 pink or ruby-red grapefruits"", ""2 navel oranges"", ""4 tangerines"", ""\u00bd cup pomegranate arils"", ""\u00bd cup sour cream"", ""\u00bc cup frozen lemonade concentrate, undiluted"", ""fresh mint sprigs for garnish (optional)""]","[""Peel grapefruits, oranges, and tangerines with a serrated edge knife, being careful to remove the white pith."", ""Slice all citrus fruit crossways and remove any seeds. Evenly distribute slices amongst 4 salad plates. Sprinkle pomegranate arils evenly over each salad."", ""Stir together sour cream and undiluted lemonade concentrate in a small bowl for the dressing until smooth. Drizzle dressing over each salad. Garnish with mint sprigs.""]",7,3,citrus and pomegranate salad
Citrusy Romaine Salad with Shredded Chicken,Green Salads,Romaine Lettuce Salad,"[""2 cups chopped romaine lettuce"", ""\u00bd cup shredded cooked chicken"", ""\u00bc cup mung bean sprouts"", ""\u00bc cup freshly chopped cilantro"", ""\u00bd medium avocado, sliced"", ""\u00bc medium cucumber, thinly sliced"", ""3 tablespoons ranch dressing"", ""1 tablespoon extra-virgin olive oil"", ""\u00bd medium lime, juiced"", ""kosher salt and fresh ground pepper to taste""]","[""Combine lettuce, chicken, sprouts, cilantro, avocado, and cucumber in a bowl."", ""Add ranch dressing, olive oil, and lime juice; toss lightly. Season with salt and pepper.""]",10,2,citrusy romaine salad with shredded chicken
Claremont Salad,Coleslaws,Vinegar Coleslaw,"[""1 medium head cabbage, shredded"", ""2 cucumbers, thinly sliced"", ""3 carrots, thinly sliced"", ""1 Bermuda onion, thinly sliced"", ""\u00be cup distilled white vinegar"", ""\u00be cup white sugar"", ""\u00bd cup vegetable oil"", ""4 tablespoons water"", ""3 teaspoons salt""]","[""Combine cabbage, cucumbers, carrots, and onion in a large bowl."", ""Whisk together vinegar, sugar, oil, water, and salt in a small bowl. Pour over the cabbage mixture, toss to coat, and refrigerate for at least 12 hours. Drain excess liquid before serving.""]",9,2,claremont salad
Classic American-Style Potato Salad,July 4Th,4Th Of July Salads,"[""2 pounds red boiling potatoes, scrubbed"", ""2 tablespoons red wine vinegar"", ""\u00bd teaspoon salt"", ""\u00bd teaspoon freshly ground black pepper"", ""3 hard-cooked eggs"", ""1 small celery stalk"", ""\u00bc cup chopped sweet pickle (not relish)"", ""3 scallions"", ""2 tablespoons chopped fresh parsley"", ""\u00bd cup mayonnaise"", ""2 tablespoons Dijon-style mustard""]","[""Place potatoes in a pot with water to cover. Bring to a boil, cover and simmer, stirring to ensure even cooking, until a thin-bladed paring knife or a metal skewer inserted into a potato can be removed with no resistance, 25 to 30 minutes. Drain, rinse under cold water, and drain again. Cool slightly."", ""Cut warm potatoes into 3/4-inch dice. Layer them in a bowl, seasoning with vinegar, salt, and pepper as you go."", ""Cut eggs, celery, and pickle in 1/4-inch dice. Thinly slice scallions. Add to potatoes, along with parsley. Stir in mayonnaise and mustard until everything is combined. Chill, covered, before serving.""]",11,3,american style potato salad
Classic Caesar Salad,Green Salads,Green Salads,"[""3 anchovy fillets"", ""2 cloves garlic, finely chopped"", ""\u00bd lemon, juiced"", ""2 tablespoons red wine vinegar"", ""1 large egg yolk"", ""1 tablespoon Dijon mustard"", ""1 dash Worcestershire sauce"", ""\u00bc cup olive oil"", ""salt and ground black pepper to taste""]","[""Gather all ingredients."", ""To make the Caesar dressing: Mash anchovy fillets and garlic in a large salad bowl. Add lemon juice, red wine vinegar, Dijon mustard, egg yolk, and Worcestershire sauce; whisk until smooth and creamy. Gradually stream in olive oil while whisking constantly. Season to taste with salt and black pepper."", ""To serve: Gently mix romaine lettuce and Parmesan cheese into dressing until thoroughly coated."", ""Top Caesar salad with croutons and enjoy!""]",9,4,caesar salad
Classic Caesar Salad with Homemade Croutons,Green Salads,Romaine Lettuce Salad,"[""\u00bd (1 pound) loaf sourdough bread, cut into 1-inch cubes"", ""\u00bc cup olive oil"", ""\u00bc cup butter, melted"", ""2 cloves garlic, pressed"", ""1 teaspoon kosher salt"", ""\u00bd teaspoon ground black pepper""]","[""Preheat the oven to 375 degrees F (190 degrees C). Place bread on a rimmed baking sheet."", ""Whisk together oil, butter, garlic, salt, and pepper in a liquid measure. Pour mixture over the bread and toss with your hands until evenly coated. Spread bread mixture into a single layer. Bake in the preheated oven until golden brown and toasted, yet slightly soft in the center, 15 to 18 minutes, tossing croutons a few times during baking. Remove from the oven and let cool completely while you prepare the salad."", ""Place garlic, anchovies, and salt in a large salad serving bowl; press the mixture with a fork until a paste forms. Stir in egg yolk, lemon juice, Dijon, and Worcestershire sauce until well combined. Slowly whisk in olive oil until all is incorporated and mixture is well blended and smooth. Stir in 2 tablespoons Parmesan cheese and 1/4 teaspoon pepper. Remove about 1/4 cup of dressing and set aside for another use."", ""When ready to serve, add lettuce and 1/2 of the croutons to the bowl with the remaining dressing; toss until well coated. Reserve remaining croutons for another use."", ""Sprinkle salad with additional Parmesan and pepper if desired. Serve immediately.""]",6,5,caesar salad with croutons
Classic Chicken Caesar Salad,Chicken Salads,Bbq & Grilled Chicken Salads,"[""6 cups tightly packed chopped romaine lettuce"", ""1 pound cooked boneless, skinless chicken breasts, cut into strips"", ""\u00bd cup finely shredded Parmesan cheese, such as Cracker Barrel"", ""\u00bd cup seasoned croutons"", ""\u00bc cupcreamy creamy""]","[""Arrange lettuce on four serving plates. Top with chicken, Parmesan, and croutons, then drizzle with dressing.""]",5,1,chicken caesar salad
Classic Chicken Salad,Chicken Salads,Chicken Salads,"[""cooking spray"", ""2 pounds skinless, boneless chicken breast halves"", ""1 teaspoon kosher salt, divided"", ""\u00be teaspoon ground black pepper, divided"", ""\u00be teaspoon onion powder"", ""1 cup mayonnaise, or more to taste"", ""\u00bd cup sour cream"", ""\u00bc cup sweet relish"", ""3 stalks green onions (white and light green parts only), minced"", ""2 tablespoons chopped fresh parsley"", ""1 tablespoon Dijon mustard"", ""1 tablespoon lemon juice"", ""1 teaspoon dried dill weed"", ""\u00bd cup finely chopped celery""]","[""Preheat the oven to 300 degrees F (150 degrees C). Lightly coat a baking dish with cooking spray."", ""Season chicken evenly with 1/2 teaspoon salt, 1/2 teaspoon pepper, and onion powder. Place in the prepared baking dish and cover tightly with foil."", ""Bake in the preheated oven until juices run clear and chicken shreds easily, about 1 hour 20 minutes; don't overcook. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C)."", ""Remove from the oven, uncover, and let sit until cool enough to handle, about 15 minutes. Reserve any accumulated chicken broth."", ""Prepare dressing while chicken cools. Combine 1 cup mayonnaise, sour cream, relish, green onions, parsley, Dijon, lemon juice, dill, and remaining salt and pepper in a large bowl; mix until well combined."", ""Break chicken into large pieces and place in the bowl of a food processor. Pulse 3 to 5 times to shred chicken to desired consistency."", ""Transfer chicken to a bowl. Add celery and pour dressing over top; toss to coat. If more moisture is desired, add reserved broth or more mayonnaise."", ""Cover and chill for at least 2 hours (or up to 2 days) before serving. Stir well before serving.""]",14,8,chicken salad
Classic Pasta Salad,Pasta Salads,Pasta Salads,"[""1 (16 ounce) package tri-color rotini pasta"", ""1 \u00bd cups Italian-style salad dressing"", ""\u00bd cup diced pepperoni"", ""\u00bd cup diced salami"", ""\u00bd cup diced Cheddar cheese"", ""\u00bd cup diced Monterey Jack cheese"", ""\u00bd cup crumbled feta cheese"", ""\u00bd medium cucumber, diced"", ""\u2153 cup sliced black olives"", ""\u2153 medium red onion, diced"", ""12 cherry tomatoes, halved""]","[""Bring a large pot of lightly salted water to a boil; cook rotini at a boil until tender yet firm to the bite, about 8 minutes. Drain; run under cold water to stop the cooking process. Drain; transfer to a large bowl."", ""Stir dressing, pepperoni, salami, Cheddar cheese, Monterey Jack cheese, feta cheese, cucumber, black olives, red onion, and cherry tomatoes into rotini; toss to combine."", ""Cover the bowl with plastic wrap; set aside in the refrigerator before serving, at least 1 hour.""]",11,3,pasta salad
Classic Tossed Salad,Green Salads,Green Salads,"[""1 cup blanched slivered almonds"", ""2 tablespoons sesame seeds"", ""1 head romaine lettuce, torn into bite-size pieces"", ""1 head red leaf lettuce, torn into bite-size pieces"", ""1 (8 ounce) package crumbled feta cheese"", ""1 (4 ounce) can sliced black olives"", ""1 cup cherry tomatoes, halved"", ""1 red onion, halved and thinly sliced"", ""6 fresh mushrooms, sliced"", ""\u00bc cup grated Romano cheese"", ""1 (8 ounce) bottle Italian salad dressing""]","[""Heat a large skillet over medium-high heat. Place the almonds in the skillet, and cook, stirring frequently until lightly browned. When the almonds are beginning to turn, add sesame seeds, and cook 1 more minute, or until seeds are toasted."", ""In a large salad bowl, combine lettuce with feta cheese, olives, almonds, sesame seeds, tomatoes, onion, mushrooms, and Romano cheese. When ready to serve, toss with Italian dressing.""]",11,2,tossed salad
Club Chicken Pasta Salad,Chicken Salads,Chicken Salads,"[""8 ounces corkscrew-shaped pasta"", ""\u00be cup Italian-style salad dressing or to taste"", ""\u00bc cup mayonnaise"", ""2 cups chopped, cooked rotisserie chicken"", ""12 slices crispy cooked bacon, crumbled"", ""8 ounces cherry tomatoes, halved"", ""1 cup cubed Muenster cheese"", ""1 cup chopped celery"", ""1 cup chopped green bell pepper"", ""1 avocado - peeled, pitted, and chopped""]","[""Gather all ingredients."", ""Bring a large pot of lightly salted water to a boil. Cook pasta in the boiling water, stirring occasionally, until tender yet firm to the bite, about 10 to12 minutes. Drain and rinse under cold water."", ""Whisk Italian-style dressing and mayonnaise together in a large bowl."", ""Stir in pasta, chicken, bacon, tomatoes, cheese, celery, green bell pepper, and avocado until evenly coated."", ""Enjoy!""]",10,5,club chicken pasta salad
Cobb Salad,Lunch,Salad Recipes,"[""6 slices bacon"", ""3 large eggs"", ""1 head iceberg lettuce, shredded"", ""3 cups chopped, cooked chicken meat"", ""2 ripe tomatoes, seeded and chopped"", ""\u00be cup blue cheese, crumbled"", ""3 green onions, chopped"", ""1 avocado - peeled, pitted and diced"", ""1 (8 ounce) bottle Ranch-style salad dressing""]","[""Place eggs in a saucepan and cover completely with cold water; bring to a boil, then cover and remove from heat. Let eggs sit for 10 to 12 minutes, then cool, peel and chop."", ""While the eggs are cooking, place bacon in a large, deep skillet. Cook over medium-high heat until evenly brown, 7 to 10 minutes. Drain, crumble, and set aside."", ""Divide shredded lettuce among individual plates. Arrange rows of bacon, eggs, chicken, tomatoes, blue cheese, green onions, and avocado on top."", ""Drizzle with dressing and enjoy!""]",9,4,cobb salad
Cobb Salad with Ham,Allrecipes Allstar Recipes,Allrecipes Allstars Salad,"[""2 cups chopped lettuce"", ""1 hard-boiled egg, thinly sliced crosswise"", ""3 slices cooked bacon, crumbled"", ""1 Roma tomato, diced"", ""\u00bd avocado, cubed"", ""2 slices deli ham, cut into bite-sized pieces"", ""2 tablespoons crumbled blue cheese"", ""3 green onions, sliced"", ""1 tablespoon blue cheese salad dressing, or to taste""]","[""Place lettuce in a shallow salad bowl. Top with rows of hard-boiled egg, bacon, tomato, avocado, ham, blue cheese crumbles, and green onions. Drizzle with dressing.""]",9,1,cobb salad with ham
Cocktail Shrimp Salad,Mexican,Mexican Salads,"[""1 \u00bd pounds cooked shrimp, tails removed"", ""1 large cucumber - peeled, seeded, and diced"", ""1 white onion, diced"", ""3 Roma tomatoes, diced"", ""\u2153 bunch fresh cilantro, chopped"", ""4 limes, juiced"", ""1 (12 ounce) bottle ketchup"", ""8 fluid ounces tomato juice"", ""salt to taste""]","[""Cut cooked shrimp into thirds and place in a large bowl; add cucumber, onion, and tomatoes. Mix cilantro and lime juice into shrimp mixture. Pour ketchup and tomato juice over salad and mix well; season with salt.""]",9,1,cocktail shrimp salad
Coconut Ambrosia Salad,Fruit Salads,Dessert Salads,"[""1 (11 ounce) can mandarin oranges, drained"", ""1 (8 ounce) can crushed pineapple, drained"", ""3 \u00bd cups frozen whipped topping, thawed"", ""2 cups shredded coconut"", ""2 cups miniature marshmallows"", ""\u00bd cup milk"", ""1 cup maraschino cherries""]","[""In a large bowl, combine the oranges, pineapple, whipped topping, coconut, marshmallows and milk."", ""Mix together well and chill 1 hour before serving. Garnish with cherries.""]",7,2,coconut ambrosia salad
